head_coach,shots,pim,hits
Jon Cooper,28.0,17.0,32.0
Jared Bednar,34.0,6.0,10.0
Alain Vigneault,29.0,12.0,24.0
David Quinn,37.0,6.0,21.0
Peter Laviolette,38.0,13.0,17.0
Bob Boughner,29.0,4.0,18.0
Joel Quenneville,35.0,18.0,21.0
Jon Cooper,26.0,8.0,22.0
Geoff Ward,37.0,4.0,11.0
Jeff Blashill,21.0,6.0,42.0
Peter Laviolette,26.0,17.0,22.0
Dave Tippett,35.0,10.0,33.0
Paul Maurice,27.0,4.0,30.0
Jared Bednar,32.0,2.0,19.0
John Tortorella,24.0,0.0,15.0
Travis Green,23.0,10.0,18.0
Rick Tocchet,37.0,6.0,25.0
Barry Trotz,41.0,2.0,21.0
D.J. Smith,27.0,0.0,19.0
Alain Vigneault,21.0,2.0,27.0
Jared Bednar,32.0,21.0,19.0
Claude Julien,26.0,8.0,23.0
Bob Boughner,29.0,6.0,27.0
Bruce Cassidy,36.0,21.0,8.0
Geoff Ward,28.0,4.0,32.0
Mike Sullivan,16.0,6.0,25.0
John Tortorella,27.0,4.0,19.0
Paul Maurice,28.0,6.0,25.0
Todd Reirden,28.0,14.0,25.0
Rick Bowness,32.0,4.0,15.0
Paul Maurice,21.0,8.0,33.0
Dave Tippett,26.0,4.0,23.0
Rick Tocchet,25.0,4.0,17.0
Travis Green,32.0,18.0,24.0
Alain Nasreddine,49.0,12.0,20.0
